VC,Tier,Proximity,Fit,Location,Contact,Thesis Fit,Network,Lead Capability,Location Score,Gravitas Score,Status,Intro Path,Evidence,Score Confidence
Field Ventures,Gate,Cold (discovered),23,,,5,5,5,5,3,DISCOVERED (AI-scored): Website provides insufficient information to evaluate as a venture fund - appears to be a minimal landing page,discovered via Exa find-similar; seed Mayfield Fund,"thesis (5): No clear investment thesis or focus areas visible on homepage - only mentions 'domain experts building industry transforming businesses' https://fieldvc.com
network (5): No portfolio companies, partners, or network information available on the website https://fieldvc.com
lead (5): No information about check sizes, fund size, or investment stage focus found https://fieldvc.com
location (5): No location or geographic focus information provided on the website https://fieldvc.com
gravitas (3): Minimal web presence with only a newsletter signup form suggests limited market presence https://fieldvc.com
source: https://fieldvc.com",low
Feld Ventures,3 - Follow / participant,Cold (discovered),55,,,20,15,10,5,5,DISCOVERED (AI-scored): Early-stage AI fund with relevant portfolio but unclear lead capability and minimal public presence,discovered via Exa find-similar; seed Mayfield Fund,"thesis (20): Invests in AI & Automation including Vectara (neural search platform) and Replit (AI-powered development) - https://feldventures.com
network (15): Portfolio includes Vectara (enterprise AI), Replit (developer tools), and Autolane (logistics tech) but no clear VC/innovation team connections - https://feldventures.com
lead (10): Vectara raised $25M Series A suggesting capability for larger rounds - https://feldventures.com
location (5): No location information provided on website - https://feldventures.com
gravitas (5): Limited information about partners or track record on website - https://feldventures.com
source: https://feldventures.com",low
Feldsmith Capital,Gate,Cold (discovered),30,,,5,10,5,5,5,"DISCOVERED (AI-scored): Poor thesis fit - focuses on mobility/logistics/real estate, not AI/fintech; insufficient evidence of Series A capability or $5-7M check sizes.",discovered via Exa find-similar; seed Mayfield Fund,"thesis (5): Invests at intersection of technology, mobility, logistics, commerce & real estate - no mention of AI, fintech, or data infrastructure focus. https://feldsmith.com/
network (10): May have connections in commerce and real estate sectors that could benefit enterprise software sales. https://feldsmith.com/
lead (5): No evidence of check sizes, fund size, or Series A participation - appears to be early stage focused. https://feldsmith.com/
location (5): No location information provided on website. https://feldsmith.com/
gravitas (5): Minimal information available about team, track record, or portfolio companies. https://feldsmith.com/
source: https://feldsmith.com",low
Mountainfield Venture Partners,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Mountainfield is a biopharma company creation platform, not a venture fund, with zero fit for Innovera's AI tooling business.",discovered via Exa find-similar; seed Mayfield Fund,"thesis (0): Mountainfield focuses exclusively on biopharma company creation around drug candidates, not AI/fintech/data infrastructure - https://mountainfieldvp.com
network (0): No evidence of connections to VCs or corporate innovation teams; network appears limited to biopharma/life sciences - https://mountainfieldvp.com
lead (0): No evidence of venture fund structure or ability to write checks; appears to be a company creation platform - https://mountainfieldvp.com
location (0): No location information provided on website - https://mountainfieldvp.com
gravitas (0): Team has biopharma expertise but no relevance to AI/fintech investing - https://mountainfieldvp.com
source: https://mountainfieldvp.com",low
Dvc,VERIFY (poss. Tier-1),Cold (discovered),77,,,22,20,15,12,8,"DISCOVERED (AI-scored): Strong AI thesis alignment and relevant network, but check size ($1-3M) is too small to lead Innovera's $10M round.",discovered via Exa find-similar; seed DCVC,"thesis (22): DVC is an AI-focused VC that invests in early-stage AI startups and has a dedicated AI Fund, directly aligning with Innovera's AI tooling business. https://dvc.ai
network (20): DVC's collective includes 170+ LPs who are engineers, founders, and AI researchers, plus 240+ portfolio founders, providing strong connections to potential VC and innovation team customers. https://dvc.ai
lead (15): DVC AI Fund I writes $1M-$3M checks into Series A rounds, but this falls short of the $5-7M lead check size needed for Innovera's round. https://dvc.ai
location (12): The team appears to have Silicon Valley presence based on references to 'Silicon Valley access' and team backgrounds at Meta, Google, and other Bay Area companies. https://dvc.ai
gravitas (8): Managing Partners have successful exits (Cherry Labs to Meta, Gagarin Capital) and one GP is an Academy Award winner with Microsoft acquisition experience. https://dvc.ai
source: https://dvc.ai",low
Patentvc,Gate,Cold (discovered),30,,,5,10,0,10,5,"DISCOVERED (AI-scored): PatentVC is an IP-focused co-investor with $50-200K checks, not a lead investor for Series A rounds",discovered via Exa find-similar; seed DCVC,"thesis (5): PatentVC focuses on IP protection for AI-transformed verticals including legal tech, but primarily invests in hardware/regulated sectors, not AI tooling for VCs - https://patentvc.com
network (10): PatentVC co-invests alongside top-tier VCs like YC, a16z, Sequoia, Benchmark, Greylock - https://patentvc.com
lead (0): PatentVC only co-invests $50K-$200K alongside other leads, does not lead rounds themselves - https://patentvc.com
location (10): Based in Menlo Park, CA which is in Silicon Valley ecosystem - https://patentvc.com
gravitas (5): Founder has NVIDIA lead patent counsel experience and built Trademarkia with 120K+ clients - https://patentvc.com
source: https://patentvc.com",high
Acvc Partners,Gate,Cold (discovered),53,,,20,10,5,12,6,DISCOVERED (AI-scored): Deep tech fund with AI focus but no evidence of Series A capability or $5-7M check sizes,discovered via Exa find-similar; seed DCVC,"thesis (20): ACVC Partners focuses on AI and deep tech investments, listing artificial intelligence as a primary focus area transforming industries | https://acvc.partners
network (10): States LPs are industry leaders who can provide portfolio companies with business development opportunities, but no specific customer examples for VCs/innovation teams | https://acvc.partners
lead (5): No evidence of check sizes, fund size, or Series A investments found on website | https://acvc.partners
location (12): Founded at the heart of innovation in Silicon Valley | https://acvc.partners
gravitas (6): Describes itself as a deep tech Venture Fund but provides no portfolio companies, team members, or track record | https://acvc.partners
source: https://acvc.partners",low
Eastlink Capital,2 - Cultivate / participant,Cold (discovered),80,,,23,20,18,10,9,"DISCOVERED (AI-scored): Strong AI/data thesis fit with solid portfolio, but unclear on typical check size and Series A lead frequency",discovered via Exa find-similar; seed profile,"thesis (23): Focuses on Data and AI Infrastructure investments with deep domain expertise - https://eastlinkcap.com/
network (20): Portfolio includes AI/data companies (Databricks, OpenAI, MotherDuck) that could be Innovera customers, plus strong Asia expansion support - https://eastlinkcap.com/
lead (18): Portfolio shows Series A+ investments (Databricks, Uber IPO, MobileIron IPO) demonstrating capability to price larger rounds - https://eastlinkcap.com/
location (10): Has cross-border expertise and Asia focus but no clear SF/NYC presence mentioned - https://eastlinkcap.com/
gravitas (9): Portfolio includes major wins like OpenAI, Databricks, Uber IPO, and successful exits - https://eastlinkcap.com/
source: https://eastlinkcap.com/",med
Revo Capital,Referral / deprioritize,Cold (discovered),40,,,8,10,12,5,5,DISCOVERED (AI-scored): Regional VC with AI/B2B experience but geographic mismatch and smaller check sizes than ideal $5-7M target,discovered via Exa find-similar; seed profile,"thesis (8): Invests in B2B Cloud, Big Data & AI, Fintech sectors but focuses on Turkish/Eastern European founders - https://revo.vc/
network (10): Portfolio includes AI companies like CLEATUS AI, Turbo Law, and eachlabs but primarily regional focus - https://revo.vc/investments
lead (12): Led multiple rounds including Turbo Law's $3.8M, CLEATUS AI's $4M co-lead, and participated in larger Series A/B rounds - https://revo.vc/
location (5): Focus on Turkey, Eastern Europe & Baltics, not US/global reach - https://revo.vc/
gravitas (5): Fund III first closing at $86M, selected as leader by CFI.co, Microsoft VC partner - https://revo.vc/fund-iiis-first-closing/
source: https://revo.vc/",med
PWV (Preston,3 - Follow / participant,Cold (discovered),65,,,15,18,12,10,10,DISCOVERED (AI-scored): GitHub founder's fund with strong tech credibility but limited evidence of AI/fintech focus or $5-7M lead capability,discovered via Exa find-similar; seed profile,"thesis (15): PWV focuses on early-stage technology founders but no specific mention of AI/fintech/data infrastructure focus https://pwv.com/
network (18): Preston-Werner co-founded GitHub, giving strong tech/developer network but no specific VC/corporate innovation team connections shown https://pwv.com/
lead (12): Fund I announcement suggests institutional fund structure but no check sizes or valuation ranges specified https://pwv.com/
location (10): No location information provided on website https://pwv.com/
gravitas (10): Tom Preston-Werner co-founded GitHub (acquired for $7.5B), bringing significant founder credibility https://pwv.com/
source: https://pwv.com/",low
Array Ventures,3 - Follow / participant,Cold (discovered),68,,,20,15,10,15,8,DISCOVERED (AI-scored): Strong AI/enterprise thesis fit but appears focused on earlier stages than Series A lead.,discovered via Exa find-similar; seed profile,"thesis (20): Array focuses on AI founders and enterprise software with AI portfolio companies like Wabi, Happyrobot, and BlazeAI - https://array.vc/
network (15): Array has 500+ industry experts and claims success bringing customers to portfolio companies - https://array.vc/
lead (10): Portfolio shows Series A investments but focuses on PreSeed/early stage with no clear evidence of lead check sizes - https://array.vc/
location (15): Office in San Francisco, California - https://array.vc/
gravitas (8): Shruti Gandhi has 100+ investments with 15 exits to major companies including Apple and Amazon - https://array.vc/
source: https://array.vc/",low
Run Ventures,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Website provides no substantive information about Run Ventures' investment focus, portfolio, or capabilities",discovered via Exa find-similar; seed profile,"thesis (0): No investment thesis or focus areas mentioned on website https://run.vc/
network (0): No portfolio companies or network information available https://run.vc/
lead (0): No check size or stage information provided https://run.vc/
location (0): No location information found on website https://run.vc/
gravitas (0): No team members or track record visible https://run.vc/
source: https://run.vc/",low
Zero Prime Ventures,3 - Follow / participant,Cold (discovered),70,,,20,15,15,10,10,DISCOVERED (AI-scored): Strong AI thesis fit but newer fund (2023) with limited track record; check size capability unclear from evidence.,discovered via Exa find-similar; seed profile,"thesis (20): Zero Prime backs deeply technical teams building AI infrastructure, platforms and applications, aligning with Innovera's AI tooling focus. Source: https://zeroprime.vc/
network (15): Portfolio includes AI and data companies like Modal, Hex, and Datahub, plus hosts 1,000+ technical attendees at community events. Source: https://zeroprime.vc/
lead (15): Portfolio company Higgsfield raised $50M Series A and Modal raised $87M Series B, showing capability for Series A deals. Source: https://zeroprime.vc/
location (10): Hosts AI Council conference in San Francisco, suggesting Bay Area presence. Source: https://zeroprime.vc/
gravitas (10): Founded in 2023 with Pete Soderling as GP, relatively new fund but strong AI focus and notable portfolio companies. Source: https://zeroprime.vc/
source: https://zeroprime.vc/",med
Banyan Ventures,Gate,Cold (discovered),57,,,20,15,5,10,7,DISCOVERED (AI-scored): Strong AI thesis fit but wrong stage - pre-seed fund unsuitable for $10M Series A lead,discovered via Exa find-similar; seed profile,"thesis (20): Banyan is an AI-native VC firm focused on AI infrastructure and applications, directly aligning with Innovera's AI tooling business - https://banyan-vc.com/
network (15): Sam Awrabi has advised 15+ AI infrastructure companies and has connections to enterprise buyers like Uber, Cisco, Etsy, Netflix from his Comet ML experience - https://banyan-vc.com/
lead (5): Banyan is explicitly a pre-seed fund investing at the idea stage, not Series A - https://banyan-vc.com/
location (10): Banyan is a New York City-based venture capital firm - https://banyan-vc.com/
gravitas (7): Sam Awrabi was first sales hire in $2B experiment/model management market and has advised companies that went on to raise Series A (54%) and Series B (18%) - https://banyan-vc.com/
source: https://banyan-vc.com/",low
Good AI Capital,Gate,Cold (discovered),33,,,8,10,5,5,5,"DISCOVERED (AI-scored): Good AI Capital appears to be an early-stage AI fund but lacks public information about team, check sizes, and Series A capability.",discovered via Exa find-similar; seed profile,"thesis (8): Good AI Capital focuses on AI for Healthcare, Enterprise, and Automation but no specific mention of fintech or data infrastructure investments. https://goodai.capital/
network (10): Claims partnerships with accelerators, co-investors, research institutions and industry network but no specific names provided. https://goodai.capital/
lead (5): No information about check sizes, fund size, or specific Series A investments found on website. https://goodai.capital/
location (5): No location information found on website. https://goodai.capital/
gravitas (5): No team members, advisors, or notable LPs listed on website despite 'Team' section mentioned. https://goodai.capital/
source: https://goodai.capital/",low
AI venture capital investing in AI,3 - Follow / participant,Cold (discovered),73,,,20,15,20,10,8,DISCOVERED (AI-scored): Strong AI thesis fit but limited evidence of direct VC/corporate innovation customer network for Innovera,discovered via Exa find-similar; seed profile,"thesis (20): Air Street invests in AI-first companies in vertical software, developer tools and infrastructure - aligns with Innovera's AI tooling focus https://www.airstreet.com/ai-venture-capital
network (15): No specific VC/corporate innovation team connections mentioned, but strong AI ecosystem presence through London.AI meetup and Guide to AI newsletter https://www.airstreet.com/ai-venture-capital
lead (20): Invests at Series A with check sizes from $500k to $10M, covering the $5-7M range needed https://www.airstreet.com/ai-venture-capital
location (10): Based in London with US and Europe investment focus - partial geographic alignment https://www.airstreet.com/ai-venture-capital
gravitas (8): Publishes influential State of AI Report and runs RAAIS summit, establishing thought leadership in AI https://www.airstreet.com/ai-venture-capital
source: https://www.airstreet.com/ai-venture-capital",med
WillowTree Ventures,3 - Follow / participant,Cold (discovered),62,,,20,20,10,7,5,DISCOVERED (AI-scored): Strong thesis fit but check size ($3M max) likely insufficient to lead a $10M Series A round.,discovered via Exa find-similar; seed profile,"thesis (20): Focuses on 'Autonomous Intelligence for Financial Services and Commerce' which aligns with Innovera's AI tooling for VCs and corporate innovation teams. https://willowtree.vc/
network (20): Claims enterprise connections in financial services; founder testimonial mentions 'connections and experience in the financial industry' leading to tactical results. https://willowtree.vc/
lead (10): Check sizes listed as '$500K - $3M' which falls short of the $5-7M lead check requirement for a $10M round. https://willowtree.vc/
location (7): No location information provided on website. https://willowtree.vc/
gravitas (5): Claims to be 'Early investors in iconic startups of the past decade' but no specific portfolio companies shown. https://willowtree.vc/
source: https://willowtree.vc/",low
Saltgrass Capital,Gate,Cold (discovered),30,,,5,10,5,5,5,DISCOVERED (AI-scored): Healthcare-focused fund with minimal disclosed information and wrong thesis for Innovera's AI tools for VCs/corporates,discovered via Exa find-similar; seed profile,"thesis (5): Saltgrass focuses exclusively on B2B SaaS Healthcare AI, not AI tooling for VCs/corporate innovation - https://saltgrasscapital.com/
network (10): Claims ecosystem partners but no specific partners listed, healthcare-focused network wouldn't help Innovera's VC/corporate customers - https://saltgrasscapital.com/
lead (5): No check sizes, fund size, or stage focus mentioned anywhere on site - https://saltgrasscapital.com/
location (5): No location information provided on website - https://saltgrasscapital.com/
gravitas (5): Co-Founder Robert Goodman mentioned but no background, track record, or portfolio companies shown - https://saltgrasscapital.com/
source: https://saltgrasscapital.com/",low
macro.one,Gate,Cold (discovered),50,,,20,10,5,5,10,"DISCOVERED (AI-scored): Infrastructure-focused AI investor but appears to be more of an alternative asset manager than traditional VC, with Latin America focus misaligned with typical Series A leads.",discovered via Exa find-similar; seed profile,"thesis (20): They focus on AI infrastructure value chain including AI factories, highways, fuel, and manufacturing backbone, showing strong alignment with AI tooling - https://macro.one/
network (10): They mention deals executed across focus areas and building infrastructure that companies run on, suggesting enterprise connections but no specific VC/innovation team networks mentioned - https://macro.one/
lead (5): They describe themselves as an institutional asset manager with infrastructure and credit strategies, not traditional VC Series A lead experience - https://macro.one/
location (5): They specifically focus on Mexico and Latin America markets - https://macro.one/
gravitas (10): Combined leadership experience across sectors with $0B+ in transaction history indicates substantial credibility - https://macro.one/
source: https://macro.one/",low
Overlook Ventures,Gate,Cold (discovered),63,,,15,20,5,15,8,DISCOVERED (AI-scored): Strong risk/AI thesis alignment but check size and stage focus make them unsuitable as Series A lead,discovered via Exa find-similar; seed profile,"thesis (15): Invests in AI safety and governance infrastructure which aligns with Innovera's AI tooling focus - https://overlook.vc/
network (20): Extended team includes executives from Google, Waymo, Nvidia, Palantir, and major insurers providing potential customer connections - https://overlook.vc/
lead (5): Check size range is $100K-$1M and focuses on Pre-Seed/Seed stages, far below Series A requirements - https://overlook.vc/
location (15): Based in San Francisco with global reach - https://overlook.vc/
gravitas (8): Amir Kabir scaled Munich Re Ventures from $50M to $1B+ AUM and has 15+ years investing experience - https://overlook.vc/
source: https://overlook.vc/",low
First Star Ventures,Referral / deprioritize,Cold (discovered),45,,,15,10,10,5,5,DISCOVERED (AI-scored): Early-stage fund with AI interest but limited evidence of Series A lead capability at $100M valuations or relevant customer network for Innovera.,discovered via Exa find-similar; seed profile,"thesis (15): They focus on computing evolution including AI, but no specific mention of fintech/data infrastructure or AI tooling for VCs - https://firststar.vc/
network (10): Portfolio includes enterprise software (Jellyfish) and testimonials mention help with fundraising intros, but no clear VC/corporate innovation network shown - https://firststar.vc/
lead (10): They led pre-seed for Oort and testimonials suggest they help with A-raises, but no evidence of $5-7M checks or $100M valuations - https://firststar.vc/
location (5): No location information provided on website - https://firststar.vc/
gravitas (5): No partner backgrounds, fund size, or notable exits mentioned on website - https://firststar.vc/
source: https://firststar.vc/",low
KAS Venture Partners,Gate,Cold (discovered),0,,,0,0,0,0,0,"DISCOVERED (AI-scored): Insufficient information available - website provides only company name and background image with no substantive content about investment focus, portfolio, or capabilities",discovered via Exa find-similar; seed profile,"thesis (0): No investment thesis or focus areas found on homepage https://kasventurepartners.com/
network (0): No portfolio companies or partner networks mentioned on homepage https://kasventurepartners.com/
lead (0): No information about check sizes or fund size found on homepage https://kasventurepartners.com/
location (0): No location information found on homepage https://kasventurepartners.com/
gravitas (0): No team members or track record mentioned on homepage https://kasventurepartners.com/
source: https://kasventurepartners.com/",low
Mayfield Fund,1 - Open now,Warm,87,"Menlo Park, CA",Sri Pangulur - Partner (Mayfield Fund),22,20,22,15,8,"CONFIRMED: Sri Pangulur is a Partner at Mayfield Fund (verified via LinkedIn); was mislabeled 'Branch'. Tier-1 enterprise/AI, lead-capable.",Zamir (listed),,
DCVC (Data Collective),1 - Open now,Warm,84,"Palo Alto / SF, CA",Ali Tamaseb - General Partner (DCVC),22,18,22,15,7,"CONFIRMED: Ali Tamaseb is a GP at DCVC / Data Collective (verified via LinkedIn); was mislabeled 'Charlie'. Deep-tech/AI, lead-capable.",Daniel (listed),,
Andreessen Horowitz,1 - Open now,Warm,97,"Menlo Park, CA",Jonathan Lai - General Partner,24,24,24,15,10,Tier-1 AI/fintech/enterprise; can lead but likely wants more ownership than $10m@$100m gives,Zamir (listed)  [also at firm: Tom Hammer],,
Accel,1 - Open now,Warm,96,"Palo Alto, CA",Matt Weigand - Partner,24,23,24,15,10,Classic A lead; deep enterprise/SaaS thesis,Zamir (listed),,
General Catalyst,1 - Open now,Warm,96,"San Francisco, CA",Daisy Z. - Partner,24,25,23,14,10,Very strong portfolio/customer network; multistage lead,Stella (listed),,
Menlo Ventures,1 - Open now,Warm,96,"San Francisco, CA",Houman Haghighi - Partner,25,23,24,15,9,Anthropic backer; AI thesis; classic A lead,Zamir (listed),,
GV (Google Ventures),1 - Open now,Warm,94,"Mountain View, CA",Sangeen Zeb - General Partner,23,25,22,15,9,Google ecosystem = corporate-customer intros,Zamir (listed),,
Kleiner Perkins,1 - Open now,Warm,94,"Menlo Park, CA",Leigh Marie Braswell - Partner,23,22,24,15,10,Enterprise/AI; classic A lead,Zamir (listed),,
Khosla Ventures,1 - Open now,Warm,91,"Menlo Park, CA",Katie Mishra - Partner,23,21,23,15,9,Deep-tech/AI; early-stage lead,Zamir (listed),,
Craft Ventures,1 - Open now,Warm,90,"San Francisco, CA",David O. Sacks - Founder/Partner,23,22,22,15,8,SaaS/enterprise A lead; strong operator network,Stella (listed),,
Unusual Ventures,1 - Open now,Warm,90,"Menlo Park, CA",Niamh O'Donnell - Director of Programs,23,24,21,15,7,Enterprise GTM platform = customer intros; seed/A lead,Zamir (listed),,
Wing Venture Capital,1 - Open now,Warm,89,"Palo Alto, CA",Sara Choi - Partner,24,22,21,15,7,Enterprise-focused A lead,Daniel (listed),,
Radical Ventures,1 - Open now,Warm,87,Toronto / SF,Parasvil Patel - Partner,25,22,21,11,8,AI specialist; strong AI ecosystem; SF presence,Zamir (listed),,
Greycroft,1 - Open now,Warm,85,"Los Angeles, CA",John Elton - Partner,22,21,22,12,8,A lead; enterprise/consumer; LA not Bay,Zamir (listed),,
ngp capital,1 - Open now,Warm,85,"Palo Alto, CA",Paul Asel - Cofounder & Managing Partner,22,22,20,15,6,Nokia-backed enterprise/B2B; corporate-customer intros,Zamir (listed),,
Blumberg Capital,1 - Open now,Warm,84,"San Francisco, CA",Pramod Gosavi - Sr Principal,22,21,20,15,6,Early fintech/enterprise; markets customer intros,Zamir (listed),,
Translink Capital,1 - Open now,Warm,82,"Palo Alto, CA",Kelvin Mu - Senior Principal,21,22,19,15,5,Cross-border enterprise; corporate-LP network,Zamir (listed),,
Fusion Fund,1 - Open now,Warm,80,"Palo Alto, CA",David Gerster - Investment Partner,21,19,19,15,6,Early deep-tech/enterprise,Zamir (listed),,
Pegasus Tech Ventures,1 - Open now,Warm,79,"San Jose, CA",Martin Tantow - Partner,18,23,18,15,5,"VC-as-a-service, corporate LPs = customer intros",Zamir (listed),,
Mighty Capital,2 - Cultivate / participant,Warm,76,"Palo Alto, CA",Vadim Balashov - Investor,20,22,15,15,4,Product-led; community network; smaller cheques,Zamir (listed)  [also at firm: Jennifer Vancini],,
Glasswing Ventures,1 - Open now,Warm,74,"Boston, MA",Rudina Seseri - Founder and Managing Partner,24,20,19,5,6,AI-native early-stage; East Coast,Zamir (listed),,
Revolution,1 - Open now,Warm,73,"Washington, DC",David Golden - Partner,18,21,21,5,8,Steve Case; growth + Rise of the Rest,Daniel (listed),,
Xfund,1 - Open now,Warm,71,"Cambridge, MA / Menlo Park, CA",Brandon Farwell - General Partner,19,18,18,10,6,Early-stage; academic network,Zamir (listed),,
G2 Venture Partners,1 - Open now,Warm,70,"San Francisco, CA",Neel Mehta - Partner,14,16,19,15,6,Industrial/sustainability growth; partial thesis fit,Zamir (listed),,
BDev Ventures,3 - Follow / participant,Warm,63,US (verify Bay),Keshia Theobald-van Gent - Partner,18,20,12,10,3,"REVIEW-scored, bio-based (med conf): B2B-software/GTM-focused; strong customer-intro angle; confirm cheque & location",Zamir (listed),,
Sorenson Capital,2 - Cultivate / participant,Warm,62,"Lehi, UT",Ken Elefant - Partner and Co-Founder,15,15,19,8,5,Growth/enterprise; Utah,Zamir (listed),,
AltaIR Capital,2 - Cultivate / participant,Warm,61,"Menlo Park, CA / CIS",Igor Ryabenkiy - Managing Partner,16,14,14,13,4,"REVIEW-scored, bio-based (med conf): Established multistage (Miro,OpenWeb); CIS heritage=check LP base; could do small A",Zamir (listed),,
Acorn Pacific Ventures,3 - Follow / participant,Warm,60,"Palo Alto, CA",Benny Liao - Principal,16,14,12,15,3,"REVIEW-scored, bio-based (med conf): Cross-border US-Asia early-stage; AI/SaaS; possible participant",Zamir (listed),,
CerraCap Impact Venture Capital,3 - Follow / participant,Warm,60,"Newport Beach, CA",Jack Crawford - Founding Managing Partner,16,18,12,11,3,"REVIEW-scored, bio-based (med conf): Enterprise AI/cyber/health; corporate-sales channel=customer intros; SoCal",Zamir (listed),,
T.Capital,3 - Follow / participant,Warm,57,Germany / Europe,Karine Peters - Managing Director at T.Capital,16,18,16,2,5,"REVIEW-scored, bio-based (med conf): Deutsche Telekom's DTCP (EUR2.3B); enterprise/infra; corporate-customer channel; EU-based",Zamir (listed),,
Embedding VC,3 - Follow / participant,Warm,57,US (unspecified),Roger Luo - Founder & Managing Partner,20,18,9,7,3,"REVIEW-scored, bio-based (med conf): AI-native; strong eng-leader network (customer intros); angel/SPV scale",Zamir (listed),,
Digital Garage,3 - Follow / participant,Warm,56,Tokyo / SF,"Keith Yuki Isobe - Managing Director, Member of the IC Board and Head of Investment at DGV",14,16,14,8,4,"REVIEW-scored, bio-based (med conf): Japanese corporate VC (DGV); capital + Asia corporate channels; cross-border",Zamir (listed),,
"Vine Ventures, L.P.",3 - Follow / participant,Warm,55,New York / SF,Demren Sinik - Partner,17,12,13,9,4,"REVIEW-scored, bio-based (med conf): Early-stage SOFTWARE VC; software thesis fit; possible A participant/lead",Zamir (listed),,
MDSV Capital,3 - Follow / participant,Warm,54,California,Michael Downing - Founding Partner,16,14,11,10,3,"REVIEW-scored, bio-based (low conf): Early-stage; angel in Notion/FalconX/Mercury; fintech/SaaS",Zamir (listed),,
Taiwania Capital,3 - Follow / participant,Warm,53,Taipei + Silicon Valley,Stella Yen - Investment Analyst,14,14,14,7,4,"REVIEW-scored, bio-based (med conf): Taiwan gov-backed deep-tech; SV office; contact is junior analyst (find a partner)",Zamir (listed),,
Link Ventures,3 - Follow / participant,Warm,51,"Cambridge, MA",John Werner - Managing Director and Partner,16,13,13,5,4,"REVIEW-scored, bio-based (med conf): Data/AI fund (MIT-linked); could participate/lead small A",Zamir (listed),,
Rubicon Venture Capital,3 - Follow / participant,Warm,50,"San Francisco, CA",Andrew Romans - General Partner,13,12,9,13,3,"REVIEW-scored, bio-based (med conf): SF small/seed + syndicate (7BC)",Zamir (medium),,
Candou Ventures,3 - Follow / participant,Warm,50,"Silicon Valley, CA",Susan Akbarpour - Managing Partner,15,12,10,10,3,"REVIEW-scored, bio-based (low conf): SV early-stage (AI/enterprise); confirm cheque",Daniel (medium),,
SpeedInvest Early Stage Venture Fund,3 - Follow / participant,Warm,48,Vienna / Europe,Markus Wagner - Venture Partner / Investment Committee Si I,15,13,13,2,5,"REVIEW-scored, bio-based (med conf): Large European early-stage; EU-focused, unlikely US A lead; possible co-invest",Zamir (listed),,
Orion VC,3 - Follow / participant,Warm,47,California?,Armen Fljyan - Partner,16,10,9,10,2,"REVIEW-scored, bio-based (low conf): AI-focused; Alchemist-linked; emerging",Zamir (listed),,
Plus Ultra Capital Partners,3 - Follow / participant,Warm,47,Spain / US?,Pablo Grodnitzky - Managing Partner,14,16,10,5,2,"REVIEW-scored, bio-based (low conf): Operator/GTM-led; customer-intro angle; confirm geo & cheque",Zamir (listed),,
Practical Venture Capital,3 - Follow / participant,Warm,47,"Silicon Valley, CA","Aman Verjee, CFA - General Partner / founder",10,12,10,12,3,"REVIEW-scored, bio-based (low conf): SV (secondaries-oriented) fund; fintech ops background",Zamir (listed),,
NextGen Venture Partners,3 - Follow / participant,Warm,46,Washington DC / US,Navroop K. Sahdev - Venture Partner,13,14,10,6,3,"REVIEW-scored, bio-based (med conf): Network-driven early-stage (Brown Advisory); smaller cheques",Zamir (listed),,
2468 Ventures,3 - Follow / participant,Warm,46,US (unspecified),"Pankaj Kedia - Partner, VC and Angel Groups",18,14,9,3,2,"REVIEW-scored, bio-based (low conf): AI-focused angel/micro; participant not A-lead",Zamir (listed),,
The Gasser Family Office,3 - Follow / participant,Warm,,,Eric Gasser - Private Investor,,,,,,KEEP-2ndary: family office (your rule #3 = secondary),Zamir (medium),,
Vibranium Venture Capital,Inside / sponsor,Warm,67,"Menlo Park, CA / global","Zamir Shukho, MBA - General Partner & Founder",20,18,10,15,4,Zamir's fund; running the raise; likely sponsor/participant,Daniel (listed)  [also at firm: Alex Zhulyev],,
Zeal Capital Partners,Referral / deprioritize,Warm,44,"Washington, DC",Emily Zhen - Principal and Healthcare Lead,12,12,11,5,4,"REVIEW-scored, bio-based (med conf): DC inclusive-investing (fintech/FOW/health); contact=healthcare lead; firm may fit on fintech",Daniel (listed),,
Quartus Capital Partners,Referral / deprioritize,Warm,44,US (unspecified),Fazlur Shah - Venture Partner,12,16,9,5,2,"REVIEW-scored, bio-based (low conf): Angel-flavoured; 300+ institutional-investor network",Zamir (listed),,
Double Star Venture Partners,Referral / deprioritize,Warm,44,"Silicon Valley, CA",Alexandra Johnson - Managing Director,12,12,9,9,2,"REVIEW-scored, bio-based (low conf): SV connector; emerging",Zamir (listed),,
Davidovs VC,Referral / deprioritize,Warm,43,Israel / US,Nick Davidov - Partner and cofounder,16,12,10,3,2,"REVIEW-scored, bio-based (low conf): AI-focused; Israel/US; emerging",Daniel (listed),,
Studio VC,Referral / deprioritize,Warm,43,US (unspecified),Joseph Coyne - Co-Founder & Managing Partner,13,12,9,6,3,"REVIEW-scored, bio-based (low conf): Emerging; Samsung Next pedigree",Zamir (listed),,
One Way Ventures,Referral / deprioritize,Warm,43,"Boston, MA",Eugene Malobrodsky - Managing Partner,14,12,8,5,4,"REVIEW-scored, bio-based (med conf): Boston SEED (immigrant founders); too early to lead A; possible participant",Zamir (listed)  [also at firm: Semyon Dukach],,
Geek Ventures,Referral / deprioritize,Warm,42,"New York, NY",Ihar Mahaniok - Managing Partner,14,12,8,5,3,"REVIEW-scored, bio-based (med conf): NY seed (immigrant founders); strong seed record; too early to lead A",Daniel (listed),,
