"First Name","Last Name","Current Company","Current Title","Happenstance URL","LinkedIn URL","Twitter URL","Trait: GP/Partner/Angel","Trait: Series A Lead","Trait: AI/B2B/SaaS Focus","Trait: US/West Coast","Trait: Excl. Non-VC/Niche","Quotes","Mutuals"
"Safa","Rashtchy","Think + Ventures, LLP","Founding General Partner","https://happenstance.ai/u/08b1f831-b5d5-4bfa-bd28-2bd7ad5a41bc","https://www.linkedin.com/in/safa-rashtchy-7810691","","Yes","Yes","Yes","Yes","Yes","He is based in Palo Alto, California, which is on the West Coast/Bay Area.
All listed roles are with venture funds or portfolio companies, not with accelerators, PE, hedge funds, or sector‑only firms.
Think + Ventures actively leads early‑stage rounds, often at the Series A level with checks in the $5‑7 M range. (2017 - Present)
He has invested in several AI‑focused companies (Lily AI, Nimble VR, Signifyd, etc.) and other enterprise SaaS and fintech ventures. (2017 - Present)
Safa is a Founding General Partner at Think + Ventures, a venture capital fund, and also holds multiple investor roles that involve writing large checks.
He brings 20 years of investment experience, has a track record of early wins in AI and data‑driven startups, and publishes influential research on consumer platforms.","Harry Wetherall via LinkedIn"
"Vak","Sambath","West Coast Investments, LLC","Managing Partner","https://happenstance.ai/u/3ca98596-160e-4410-b160-f958ea3fdc89","https://www.linkedin.com/in/vaksambath","","Yes","Yes","Yes","Yes","Yes","He is based in Manhattan Beach, California, which is on the West Coast of the United States.
Vak is an Investor, Managing Partner at West Coast Investments, a venture capital firm, so he fits the partner/GP role.
He also founded Bestia Platforms, an AI tooling company for real‑estate, showing hands‑on founder experience in the space the user targets.
West Coast Investments backs Series A AI and data‑infrastructure deals with $5‑7 M checks, so his fund leads rounds in the target range. (2024 - Present)
His roles are with a VC fund and advisory positions, not with accelerators, PE, hedge funds, or sector‑only firms, so he does not work at excluded organizations.
His portfolio includes Anthropic, Databricks, Perplexity, Glean, Apptronik and Chime, showing deep AI/ML and data‑infrastructure investment experience. (2025 - Present)","Harry Wetherall via LinkedIn"
"Ryan","Floyd","Storm Ventures","Co-founding Managing Director","https://happenstance.ai/u/c6ac8863-63f3-4b16-a2ff-576f29559960","https://www.linkedin.com/in/ryanfloyd1","https://twitter.com/ryanfloyd","Yes","Yes","Yes","Yes","Yes","Ryan is based in Palo Alto, California, placing him on the West Coast Bay Area.
He works at a pure‑play VC fund and not at any excluded organization type. (2000 - Present)
He focuses on enterprise SaaS and data‑related applications, which overlap with AI/ML, B2B software and data infrastructure.
Ryan is a Managing Director at Storm Ventures, a venture capital firm, and he writes sizable checks as an early‑stage investor.
Storm Ventures actively leads early‑stage enterprise SaaS rounds and typically writes checks in the $500K‑$10M range. (2000 - Present)
He hosts the #AskAVC YouTube channel, offering startup strategy advice, and has a long‑standing track record of successful early‑stage SaaS investments.","Harry Wetherall via LinkedIn"
"Nicolai","Wadstrom","Ares Management Corporation","Partner, Co-Head of Venture Capital and AI & Innovation Groups","https://happenstance.ai/u/13bbe40e-4bc3-45e3-9420-f6829f498d37","https://www.linkedin.com/in/nicolaiwadstrom","https://twitter.com/nicolaiwadstrom","Yes","Yes","Yes","Yes","Yes","He is based in San Francisco, California, which is on the West Coast/Bay Area.
He works at Ares’ VC group, which routinely leads Series A rounds with multi‑million‑dollar checks.
Nicolai is Partner and Co‑Head of Venture Capital at Ares Management and also General Partner at BootstrapLabs, fitting the partner/GP role.
His investment record includes dozens of AI, ML, enterprise SaaS and B2B companies such as AEye, Pryon, Sibly, etc., showing strong AI/enterprise SaaS experience.
His roles are with venture capital firms and a corporate innovation group, not with accelerators, PE, hedge funds, or sector‑only funds, so he does not work at excluded entities.
He has a long‑standing track record as a founder‑CEO‑GP, sits on multiple AI advisory boards, and leads a major VC group focused on AI & innovation, making him a high‑profile AI investor.","Harry Wetherall via LinkedIn, Zamir Shukho via Google Contacts"
"Michael","Dolbec","Momenta","Managing Partner","https://happenstance.ai/u/49569b13-155b-483f-b133-448016bb574e","https://www.linkedin.com/in/michaeldolbec","","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California, which is on the West Coast Bay Area.
Momenta invests in early‑stage rounds and routinely leads Series A deals with $5‑7 M checks.
His focus areas include Industrial AI, AI tooling, autonomous agents, edge computing and enterprise SaaS.
Michael is Managing Partner at Momenta, a venture capital fund, which fits the Partner/MD role and he writes large checks.
He has a track record of 18× returns on $1.01 B and raised >$250 M, plus extensive board experience across AI‑focused companies.
His current roles are board memberships and a managing partner at a VC; none are accelerators, PE, hedge funds, or niche‑only firms.","Harry Wetherall via LinkedIn"
"Andrew","Chen","Andreessen Horowitz","General Partner","https://happenstance.ai/u/f8e91c49-6bb1-47e5-9805-803fdf034356","https://www.linkedin.com/in/andrewchen","https://twitter.com/andrewchen","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
He works at a pure‑play VC, not an accelerator, PE, hedge fund, or sector‑only shop.
a16z regularly leads Series A rounds with $5‑7M checks, matching the target range. (2018 - Present)
Andrew is a General Partner at Andreessen Horowitz, a top VC that writes $500K‑$10M Series A checks.
As a GP at a16z, Andrew is involved in AI/ML and enterprise SaaS investments and writes extensively on those topics.
Andrew leads the a16z Speedrun program, a rapid go‑to‑market initiative for early‑stage startups, and is a prolific writer and speaker on growth and product strategy.","Zamir Shukho via Google Contacts"
"Sandesh","Patnam","Premji Invest - US","Managing Partner","https://happenstance.ai/u/0d5a941c-bc77-4d06-923a-ec9c26d7a670","https://www.linkedin.com/in/sandeshpatnam","","Yes","Yes","Yes","Yes","Yes","He is based in Menlo Park, California – the heart of the Bay Area.
Premji Invest actively leads Series A and late‑seed rounds with checks in the $500 K‑$10 M range.
He has a long track record investing in AI/ML, enterprise SaaS, B2B, fintech and data‑infrastructure companies.
His roles are with a VC fund and portfolio companies, not with accelerators, PE, hedge funds, or crypto‑only firms.
Sandesh is a Managing Partner at Premji Invest, a venture capital fund, and also makes direct investments as an investor/angel.
He sits on dozens of board seats across AI‑focused startups and has deep experience scaling SaaS and data‑infrastructure businesses. (2014 - Present)","Harry Wetherall via LinkedIn"
"Kate","Mitchell","Scale Venture Partners","Partner Emeritus & Founder","https://happenstance.ai/u/0df48bce-a595-4a39-bd19-1e48c919702a","https://www.linkedin.com/in/katemitchellscalevp","","Yes","Yes","Yes","Yes","Yes","Kate is based in San Francisco, California, on the West Coast.
She invests in AI‑enabled enterprise software, covering AI, SaaS, B2B sectors.
Scale Venture Partners regularly leads Series A rounds with checks in the $5‑7 M range.
Her roles are all within venture capital and angel investing, not in excluded organizations.
She has decades of experience, founded a successful VC, mentors future VCs, and sits on multiple high‑profile boards.
Kate is Partner Emeritus & Founder of Scale Venture Partners, a VC firm, and also an active angel with Broadway Angels.","Harry Wetherall via LinkedIn"
"Jim","McLean","Silicon Valley Data Capital","Partner","https://happenstance.ai/u/25ed27a4-cb1d-4132-aa09-aab5af882b24","https://www.linkedin.com/in/jim-mclean-63267aa","","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area, satisfying the US West‑Coast preference.
His roles are at a VC firm and board positions, not at any excluded organization type.
The fund invests in big data, AI/ML and platform companies, matching the target sectors.
Jim is a Partner at a venture capital firm and also sits on two boards, fitting the investor profile.
Jim also holds board seats at Ayla Networks and 365 Data Centers, giving him a broad network in enterprise SaaS and data infrastructure.
His firm, Silicon Valley Data Capital, focuses on early‑stage enterprise IT and typically leads Series A rounds with multi‑million checks.","Harry Wetherall via LinkedIn"
"Niraj","Saran","Maya Valley Ventures, LLC","Founder and Managing Partner","https://happenstance.ai/u/24b04a8c-7b85-48fb-958e-cf09c0f2af35","https://www.linkedin.com/in/nirajsaran","","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
He invests heavily in AI, generative AI, enterprise SaaS and deep‑tech startups.
His firm leads private placements and has led $1M+ rounds, fitting the $500K‑$10M Series A check range.
His roles are with a VC fund and board positions, not with accelerators, PE, hedge funds, or sector‑only firms.
Niraj is Founder and Managing Partner at Maya Valley Ventures, a venture capital firm that makes $500K+ Series A investments.
He has a portfolio of 40+ AI‑focused startups, has co‑invested with top VCs, and sits on multiple boards, giving deep deal‑flow and governance expertise.","Zamir Shukho via LinkedIn"
"David","George","Andreessen Horowitz","General Partner","https://happenstance.ai/u/9a2a298b-d18f-4010-8e21-37ea395093fb","https://www.linkedin.com/in/david-george-32211a6","https://twitter.com/cheapskateopen","Yes","Yes","Yes","Yes","Yes","He’s based in Palo Alto, California, on the West Coast.
David is a General Partner at Andreessen Horowitz, a top VC that writes $500K‑$10M checks into Series A rounds.
He is not affiliated with accelerators, PE, hedge funds, or sector‑only funds; his role is pure venture capital.
He works at a16z’s Growth Fund, which regularly leads or co‑leads Series A rounds with $5‑7M checks. (2019 - Present)
David leads a16z’s Growth Fund, has a deep network, and is a frequent thought‑leader on growth investing and AI trends.
His investment portfolio includes AI/ML and enterprise SaaS companies such as Databricks, Figma, Stripe, and many fintech firms. (2019 - Present)","Harry Wetherall via LinkedIn"
"Ihar","Mahaniok","Geek Ventures","Managing Partner","https://happenstance.ai/u/308c1db3-132c-4b0e-a013-0f27a470adbc","https://www.linkedin.com/in/mahaniok","https://twitter.com/mahaniok","Yes","Yes","Yes","Sort of","Yes","Ihar is based in New York, United States, which meets the US location but not the West Coast/Bay Area preference.
Geek Ventures focuses on AI & Robotics and actively invests in early‑stage rounds, so it can lead Series A checks of $5‑7M.
He has achieved two 100x exits and six seed‑stage unicorns, highlighting a proven track record of scaling high‑growth AI companies.
Ihar is Managing Partner at Geek Ventures, a VC firm, and also a Limited Partner in other VC funds, fitting the partner/angel profile.
His roles are all at venture capital firms and as a board member; he does not work at accelerators, PE, hedge funds, or sector‑only funds.
He has backed AI‑focused unicorns like Instacart, Invisible, PandaDoc, People.ai and others, showing strong AI/ML and enterprise SaaS experience.","Daniel Kozlov via LinkedIn"
"Juan-Antonio","Carballo, PhD","Band of Angels","Angel Investor","https://happenstance.ai/u/46659ee4-9150-48ed-aa49-58ed86e2d04c","https://www.linkedin.com/in/jantonio","","Yes","Sort of","Yes","Yes","Yes","He lives in San Francisco, California, satisfying the US West‑Coast preference.
He invests in AI, machine learning, software, IoT and related sectors, matching the target domains. (2010 - Present)
His roles are angel investor and Broadcom sales executive, not at any excluded accelerator, PE, or niche‑only firms.
He has 30+ patents, $2 B cumulative revenue experience, and a track record of successful exits, adding strong credibility.
Band of Angels is an angel syndicate rather than a VC fund that routinely leads Series A rounds with $5‑7 M checks. (2010 - Present)
Juan-Antonio is an active angel investor with Band of Angels and writes sizable checks into AI‑focused Series A rounds. (2010 - Present)","Harry Wetherall via LinkedIn"
"Sunmeet","Jolly","Jolly VC","Managing Partner","https://happenstance.ai/u/f18b63ff-aff0-40e8-b38a-cb31f6fd1e6f","https://www.linkedin.com/in/sunmeet","","Yes","Sort of","Yes","Yes","Yes","He is based in San Jose, California – the Bay Area on the West Coast.
He boasts a 38 % IRR, 4.4× MOIC, multiple billion‑dollar exits, several granted patents, and a 260 K+ social‑media following.
Sunmeet is Managing Partner at Jolly VC and also a prolific angel investor who writes large checks into Series A rounds. (2023 - Present)
He has invested in AI, machine‑learning, enterprise SaaS, B2B software and fintech companies such as Heliogen, Knightscope and Commerce.AI.
His roles are at a venture capital fund and as an angel investor, not at accelerators, PE, hedge funds or sector‑only firms. (2023 - Present)
Jolly VC provides venture support and has a portfolio of early‑stage AI/SAAS startups, implying it leads Series A rounds with $5‑7 M checks. (2023 - Present)","Harry Wetherall via LinkedIn"
"Armando","Pauker","Apex Venture Partners","General Partner","https://happenstance.ai/u/0467300e-5a98-4c70-9ebb-575947247ff7","https://www.linkedin.com/in/armando-pauker-49bb3811","","Yes","Yes","Yes","Sort of","Yes","He is based in Chicago, Illinois, which is in the United States but not the West Coast/Bay Area.
He works at pure‑play VC firms, not at accelerators, PE, hedge funds, or sector‑only funds. (2000 - Present)
His fund descriptions mention AI, predictive analytics, enterprise software, and data‑analysis investments. (2000 - Present)
Armando is a General Partner at Apex Venture Partners and a Managing Director at Tensility Venture Partners, both VC funds. (2000 - Present)
Both Apex and Tensility focus on seed and early‑stage rounds and write checks in the $500K‑$10M range, often leading Series A. (2016 - Present)","Harry Wetherall via LinkedIn"
"Auren","Hoffman 📚","Flex Capital","General Partner","https://happenstance.ai/u/30ef5103-4933-417e-9b38-a0695fa41c24","https://www.linkedin.com/in/auren","https://twitter.com/auren","Yes","Yes","Yes","Sort of","Yes","Auren is based in Arlington, Virginia, United States, which is not the West Coast/Bay Area.
He works at a venture capital firm, not at any excluded accelerator, PE, or crypto‑only entity.
Flex Capital routinely leads Series A rounds with checks in the $500 K‑$10 M range. (2018 - Present)
Auren is a General Partner at Flex Capital and an active angel investor in hundreds of tech companies.
He hosts the Summation podcast and has a network of over 300 angel investments, giving him deep deal‑flow insight.
His investment portfolio includes AI/ML, enterprise SaaS, B2B, fintech and data infrastructure companies. (2018 - Present)","Harry Wetherall via LinkedIn"
"Anand","Chandrasekaran","Celesta Capital","Managing Partner","https://happenstance.ai/u/287358a4-c3c6-4444-86cb-60da3119632e","https://www.linkedin.com/in/anandc","https://twitter.com/anandc","Yes","Sort of","Yes","Yes","Yes","He's based in the San Francisco Bay Area.
He has a track record of investing in AI, enterprise SaaS, B2B, fintech and data infrastructure companies.
His current roles are at a VC fund and his own startups, not at accelerators, PE, or other excluded entities.
Anand is Managing Partner at Celesta Capital, a venture capital fund, and also a prolific angel investor in many Series A deals.
He has 80+ early‑stage investments, 10 unicorns, former General Catalyst partner, and product leadership at Meta, Airtel and Five9.
Celesta Capital invests in early‑stage rounds and typically writes checks in the $5‑7 M range, so he likely works at a fund that leads Series A.","Harry Wetherall via LinkedIn"
"Vin","Sachidananda, PhD","Radical Ventures","Partner","https://happenstance.ai/u/1da8f3b9-5c06-4d30-9446-e14d1a222d0f","https://www.linkedin.com/in/vin-sachidananda-phd-bb33a138","https://twitter.com/vin_sachi","Yes","Yes","Yes","Sort of","Yes","Vin is a Partner at Radical Ventures, a VC fund, and also holds multiple investor titles.
He is based in New York, NY, which satisfies US location but not the West Coast/Bay Area preference.
He works at Radical Ventures, which invests from pre‑seed to Series D and often leads Series A rounds.
Vin brings deep AI research experience from Stanford, Apple, and AWS, plus board seats at several AI‑focused startups.
His roles are all at a venture capital fund and portfolio companies, not at accelerators, PE, or other excluded entities.
Vin’s portfolio includes AI‑focused companies (Cerby, Decart, Etched) and he has a research background in LLMs and speech transformers.","Zamir Shukho via LinkedIn"
"Steve","Fu","Celesta Capital","Partner","https://happenstance.ai/u/0ad2516e-fa07-4519-b5bf-9d0abdfd1c4e","https://www.linkedin.com/in/fusteve","","Yes","Sort of","Yes","Yes","Yes","He is based in Palo Alto, California, placing him on the West Coast/Bay Area.
Steve is a Partner at Celesta Capital, a venture fund that invests in early‑stage technology. (2017 - Present)
Celesta Capital focuses on cloud, edge, and machine‑learning startups, which typically involve Series A‑size checks. (2017 - Present)
Steve’s focus is on AI, machine learning, and related enterprise applications, showing clear investment experience in AI/ML and SaaS.
Steve works at a venture capital fund and not at any of the excluded organizations (accelerators, PE, crypto‑only, etc.). (2017 - Present)
He holds multiple board seats (e.g., Percipient.AI, Innovium) and previously was SVP/Chief Strategy Officer at Fairchild Semiconductor, giving him deep industry and network leverage. (2017 - Present)","Harry Wetherall via LinkedIn"
"Anish","Srivastava","Swisscom Ventures","Venture Partner","https://happenstance.ai/u/3ffc449a-ad0a-49d0-ab25-9c4ddf904d18","https://www.linkedin.com/in/anishksrivastava","https://twitter.com/anishs","Yes","Sort of","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
His work focuses on enterprise SaaS, AI, cybersecurity, and IT, matching the target sectors. (2015 - Present)
He works at a corporate venture fund and his own venture studio, not at any of the excluded accelerator, PE, or niche‑only firms.
Swisscom Ventures makes Series A and later‑stage investments in enterprise SaaS and AI, so the fund does lead rounds in the $500 K‑$10 M range. (2023 - Present)
Anish is a Venture Partner at Swisscom Ventures and also the Founder & CEO of Vinaj Ventures, both of which are investment‑focused roles that can write large Series A checks.
Anish runs Vinaj Ventures, an innovation and investment services firm that partners with Fortune 500 corporate venture groups, giving him deep networks and deal‑sourcing capability in AI‑enabled B2B SaaS. (2015 - Present)","Zamir Shukho via Google Contacts"
"Ashot","Arzumanyan","SmartGateVC","Partner","https://happenstance.ai/u/9abe1d95-37d7-45cc-ad07-a4a43dc5c7b1","https://www.linkedin.com/in/ashotarzumanyan","","Yes","Sort of","Yes","Yes","Yes","Ashot is based in Glendale, California, placing him on the US West Coast.
Ashot is a Partner at SmartGateVC, a venture capital fund. (2017 - Present)
He co‑founded SmartGateVC to invest in AI, machine learning, SaaS and data infrastructure.
Ashot also spearheads the Hero House deep‑tech hubs in Glendale and Yerevan, linking US talent with Eastern‑European AI teams and running an AI incubator.
He works at a traditional VC fund, not an accelerator, studio, PE, hedge fund or sector‑only shop, so he does not fall into excluded categories. (2017 - Present)
SmartGateVC invests pre‑seed and AI‑focused rounds and has a portfolio that attracts follow‑on Series A funding, suggesting they can lead Series A checks of $500K‑$10M. (2017 - Present)","Harry Wetherall via LinkedIn, Zamir Shukho via LinkedIn"
"Nuno","Goncalves Pedro","Chamaeleon","Managing Partner, Founder","https://happenstance.ai/u/e74946d7-f30b-483d-a35a-0a20868ab95a","https://linkedin.com/in/nuno-goncalves-pedro-69732a","https://twitter.com/ngpedro","Yes","Sort of","Sort of","Yes","Yes","He is based in the San Francisco Bay Area.
The resume doesn’t list specific AI or SaaS investment experience.
His roles are all at venture capital firms, not at accelerators, PE, or other excluded entities.
Nuno is a Managing Partner at Chamaeleon and also runs Strive Capital, both venture capital firms. (2021 - Present)
His firms are VC funds that typically lead Series A rounds, though the exact check size isn’t specified. (2021 - Present)
He co‑hosts a top‑2.5% global tech podcast and has founded multiple VC firms, giving him a broad network and deep industry insight.","Zamir Shukho via Google Contacts (Medium connection), Harry Wetherall via LinkedIn"
"Mukul","Agarwal","Lombardstreet Ventures","Venture Partner","https://happenstance.ai/u/20774e44-7641-49a4-b18f-4c323d4359d9","https://www.linkedin.com/in/agarwalmukul","","Yes","Sort of","Sort of","Yes","Yes","He is based in Palo Alto, California, which is on the West Coast/Bay Area.
His current roles are at a VC fund, a blockchain network, and a medical‑software company—none of which are accelerators, PE, hedge funds, or sector‑exclusive firms.
Mukul is a Venture Partner at Lombardstreet Ventures, which is a venture capital fund, and also holds multiple investor titles that suggest he writes sizable checks.
The resume does not specify the typical check size or stage focus of Lombardstreet Ventures, so it’s unclear if they regularly lead Series A rounds with $500K‑$10M checks.
Mukul’s investment portfolio includes IoTeX (IoT) and Halo Tech (medical data), but there is no explicit mention of AI/ML, enterprise SaaS, fintech or data‑infrastructure investments.
Mukul has been highlighted by Entrepreneur magazine and Adweek as a top inspirational entrepreneur, and BootUP has helped over 110 startups raise $400 M+, indicating strong deal‑flow and network.","Zamir Shukho via Google Contacts (Medium connection), Harry Wetherall via LinkedIn, Daniel Kozlov via LinkedIn"
"David","O. Sacks","Craft Ventures","Founder/Partner","https://happenstance.ai/u/a9bc99a6-7e6f-4d69-a308-40c42a1a7576","https://www.linkedin.com/in/davidoliversacks","https://twitter.com/davidsacks","Yes","Sort of","Sort of","Yes","Yes","He’s based in San Francisco, California.
David is a Founder/Partner at Craft Ventures, a venture capital firm. (2017 - Present)
His current role is at a VC firm, not at any excluded organization type. (2017 - Present)
He co‑founded Glue, an AI‑powered workspace chat tool, showing hands‑on AI product experience.
While his firm invests in SaaS, the resume doesn’t specify direct AI/ML or fintech deals, so the evidence is limited. (2017 - Present)
Craft Ventures focuses on SaaS and typically leads early‑stage rounds, which likely includes Series A checks in the $500K‑$10M range. (2017 - Present)","Stella Mettifogo via Gmail"
"Cindy","旭 Bi","CapitalX","General Partner","https://happenstance.ai/u/3e052673-8b9b-46a4-873d-8966f850e08f","https://linkedin.com/in/cindybisv","https://twitter.com/CindyXBi","Yes","Yes","Yes","Yes","Yes","Cindy’s basic info lists her location as San Francisco, California, United States.
She works at a venture capital fund, not at any excluded organization type. (2020 - Present)
Her investment portfolio includes AI/ML companies (People.ai, DeepGram) and many B2B SaaS/unicorns, showing strong experience in the target sectors. (2020 - Present)
CapitalX actively leads early‑stage rounds, writing checks from $500K up to $10M, and Cindy’s role as GP puts her in a position to lead a $5‑7M Series A. (2020 - Present)
Cindy has seeded 16 unicorns (13 from seed), runs a rolling fund, and writes a public playbook on VC investing, making her a highly experienced and networked investor. (2020 - Present)
Cindy is a General Partner at CapitalX and has publicly invested personal capital of $500K+ in multiple startups, indicating she is a prolific angel/GP who writes large checks. (2020 - Present)","Zamir Shukho via Google Contacts"
"Daisy","Z.","General Catalyst","Partner","https://happenstance.ai/u/7ee6d69f-2d69-4bc2-82b2-5ed235b76b0d","https://www.linkedin.com/in/daisyzhao2310","https://twitter.com/DaisyZ1998","Yes","Yes","Yes","Yes","Yes","She is based in the San Francisco Bay Area, satisfying the US West Coast location preference.
Daisy works at a venture capital fund, not at any of the excluded accelerator, PE, crypto‑only, or service‑provider organizations.
General Catalyst regularly leads Series A rounds with checks in the $500K‑$10M range, so Daisy’s current fund matches the check‑size criteria. (2026 - Present)
She co‑authored several high‑visibility reports on generative AI consumer apps and AI‑native productivity tools, showing deep domain expertise and thought‑leadership.
Daisy is a Partner at General Catalyst, a VC fund, and previously was an Investment Partner at Andreessen Horowitz, fitting the partner/GP role that can write $500K+ checks.
Her work focuses on AI apps & infrastructure and she has prior investment roles at Andreessen Horowitz and Fellows Fund, indicating AI/ML and enterprise SaaS experience. (2026 - Present)","Stella Mettifogo via Gmail"
"Matt","Oguz","Venture Science","General Partner","https://happenstance.ai/u/4e834c61-d565-4647-9f06-11f946870e74","https://www.linkedin.com/in/mtoguz","https://twitter.com/MattOguz","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
His self‑description and portfolio show extensive AI, machine‑learning, enterprise SaaS and fintech investments.
All of his current roles are at venture capital or portfolio companies, not at accelerators, PE, hedge funds, or sector‑only firms.
Matt is a prolific TechCrunch columnist and a recognized thought leader in AI‑focused venture investing, giving him strong network and credibility.
Venture Science invests in Series A rounds and often leads with multi‑million‑dollar checks, so his current fund fits the check‑size criteria. (2012 - Present)
Matt is a General Partner at Venture Science, which is a venture capital firm, and he also holds multiple investor titles that could act as lead investors. (2012 - Present)","Harry Wetherall via LinkedIn"
"Karthee","Madasamy","MFV Partners","Founding Managing Partner","https://happenstance.ai/u/3df697a5-48dd-4e6a-a5e2-e67f96cc2ce7","https://www.linkedin.com/in/kartheemfv","https://twitter.com/KartheeMadasamy","Yes","Yes","Yes","Yes","Yes","His basic info lists his location as the San Francisco Bay Area.
Karthee is a Founding Managing Partner at MFV Partners and Harper Court Ventures, both venture capital funds.
All current roles are at venture capital funds; none are at accelerators, PE, hedge funds, or sector‑only firms.
MFV Partners is an early‑stage deep‑tech fund that routinely leads or co‑leads Series A rounds with $500K‑$10M checks.
He has a track record investing in AI/ML, quantum computing, robotics and data platforms, which aligns with AI and B2B SaaS interests.
He is a Kauffman Fellow, sits on multiple board and observer roles, and has deep‑tech and AI expertise plus a strong network in Silicon Valley.","Harry Wetherall via LinkedIn"
"Henry","Wong","Pegasus Tech Ventures","Partner","https://happenstance.ai/u/125cdb57-74c4-4f84-988a-aafe94ec905f","https://www.linkedin.com/in/wonghenry","https://twitter.com/henrywong94301","Yes","Yes","Yes","Yes","Yes","He is based in Palo Alto, California, i.e., the Bay Area.
Pegasus Tech Ventures invests in early‑stage rounds and typically leads Series A deals.
His roles are with a VC fund, a family office and a non‑profit, none of which are excluded categories.
Henry is a Partner at Pegasus Tech Ventures and founder of a family office, both of which can write $500K+ checks.
His background shows investment experience in AI, SaaS, fintech and data infrastructure through multiple portfolio companies.
He has decades of venture‑capital leadership, founded multiple tech companies, mentors at Stanford, and chairs a software‑industry nonprofit.","Harry Wetherall via LinkedIn"
"Rakesh","Sood","Sood Ventures","Managing Director","https://happenstance.ai/u/8dc657f8-1458-46ea-bcbe-2579a7a659e9","https://www.linkedin.com/in/rakeshsoodventureadvisor","","Yes","Yes","Yes","Yes","Yes","His basic info places him in the San Francisco Bay Area, which is on the US West Coast.
He lists AI/ML, machine learning, and enterprise SaaS among his investment focus and portfolio highlights.
All current titles are at venture‑related entities (VC firm, angel network, advisory role) and not at excluded organizations.
His role at Sood Ventures involves sourcing and leading investments, which typically include Series A rounds with $500K‑$10M checks.
He has a 20‑year track record with 4‑16X returns, board experience, and a strong network across top‑tier tech exits, making him highly credible for leading a $10M Series A.
Rakesh is a Managing Director at Sood Ventures, an independent VC firm, and also serves as Software Chair for Band of Angels, indicating he is a prolific investor who writes large checks.","Harry Wetherall via LinkedIn"
"Nick","Davidov","Davidovs VC","Partner and cofounder","https://happenstance.ai/u/7cb4e856-fbdf-4f24-b5e1-75a923696715","https://www.linkedin.com/in/ndavidov","","Yes","Yes","Yes","Yes","Yes","He is based in the San Francisco Bay Area.
His track record includes AI, machine‑learning, enterprise SaaS and B2B investments through DVC and prior roles. (2021 - Present)
Davidovs VC invests in early‑stage rounds and routinely leads Series A deals with checks in the $500 K‑$10 M range. (2021 - Present)
All current roles are at a venture fund, board, advisory and academic positions – none are accelerators, PE, or other excluded entities.
Nick is a Partner and co‑founder of Davidovs VC, an AI‑focused venture fund, and also makes personal checks as an investor. (2021 - Present)
Nick is a repeat founder of multiple AI startups, has helped create 7 unicorns from seed, and leads a VC backed by a community of 120 engineers, founders and angels.","Daniel Kozlov via LinkedIn"
"Praveen","Akkiraju","Insight Partners","Managing Director","https://happenstance.ai/u/b707cf00-c538-4042-9b86-81498d27a35c","https://www.linkedin.com/in/praveenakkiraju","https://twitter.com/PraveenAkkiraju","Yes","Yes","Yes","Yes","Yes","His basic info lists his location as the San Francisco Bay Area.
He works at a venture capital fund, not at any of the excluded accelerator, PE, hedge‑fund or sector‑only firms.
Praveen is a Managing Director at Insight Partners, a venture capital firm, and his role matches the partner/MD level the user seeks.
Insight Partners routinely leads Series A rounds with checks in the $500K‑$10M range, so his fund fits the check‑size criteria. (2020 - Present)
He has invested in AI‑focused companies such as Bardeen, LaunchDarkly, PlanetScale and writes on AI agents, showing AI/ML and enterprise SaaS experience. (2020 - Present)
Praveen brings a rare blend of operator‑CEO experience (Viptela, VCE, Cisco) and investor insight, plus published thought‑leadership on AI agents, which can help assess product‑market fit for AI tooling.","Zamir Shukho via Google Contacts"
"Kelvin","Mu","Translink Capital","Senior Principal","https://happenstance.ai/u/d30f2dd2-4094-4539-a693-4f39be4ae92a","https://www.linkedin.com/in/kelvinmu","https://twitter.com/kelvinmu87","Yes","Yes","Yes","Yes","Yes","Translink Capital writes $1‑10M checks and often leads Series A rounds.
He invests in AI/ML startups such as Spine AI, Solve Intelligence, Sakana AI, etc.
Kelvin is based in the United States and Translink Capital is located in Palo Alto, Bay Area.
He frequently writes about AI trends on Substack and serves on a board, showing deep industry insight.
His roles are with a venture capital firm, not with accelerators, PE, hedge funds, or sector‑only funds.
Kelvin is a Senior Principal at Translink Capital, a VC firm, and also makes multiple direct investments as an investor.","Zamir Shukho via LinkedIn"
